timestamp_ms,last,bid,ask,bid_size,ask_size,volume,bar_volume
1704295130832,183.95,183.91,183.93,300,300,289955,0
1704295130837,183.95,183.91,183.93,200,200,289955,0
1704295130846,183.95,183.91,183.93,300,200,289955,0
1704295130854,183.95,183.91,183.93,300,100,289955,0
1704295130889,183.95,183.91,183.93,200,100,289955,0
1704295130902,183.95,183.91,183.93,300,100,289955,0
1704295130903,183.95,183.91,183.93,200,300,289955,0
1704295130971,183.95,183.91,183.93,200,200,289955,0
1704295131102,183.95,183.91,183.93,200,300,289955,0
1704295131212,183.95,183.91,183.93,200,200,289955,0
1704295131239,183.95,183.91,183.93,200,200,289955,0
1704295131450,183.95,183.91,183.93,200,200,289955,0
1704295131452,183.95,183.91,183.93,200,100,289955,0
1704295131480,183.95,183.91,199.0,200,100,289955,0
1704295131489,183.95,183.91,183.93,200,100,289955,0
1704295131490,183.95,183.91,183.93,200,300,289955,0
1704295131549,183.95,183.91,183.93,200,200,289955,0
1704295131550,183.95,183.91,183.93,200,100,289955,0
1704295131567,183.95,183.91,183.93,200,100,289955,0
1704295131579,183.95,183.91,183.93,200,300,289955,0
1704295131601,183.95,183.91,183.93,200,200,289955,0
1704295131644,183.95,183.91,183.93,200,200,289955,0
1704295131645,183.95,183.91,183.93,200,200,289955,0
1704295131652,183.95,183.91,183.93,200,300,289955,0
1704295131655,183.95,183.9,183.93,200,500,289955,0
1704295131656,183.95,183.9,183.93,200,400,289955,0
1704295131717,183.95,183.9,183.93,200,300,289955,0
1704295131771,183.95,183.9,183.93,200,200,289955,0
1704295131778,183.95,183.9,183.93,200,300,289955,0
1704295131779,183.95,183.9,183.93,200,400,289955,0
1704295131788,183.95,183.9,183.93,200,300,289955,0
1704295131789,183.95,183.9,183.93,200,200,289955,0
1704295131832,183.95,183.9,183.93,200,100,289955,0
1704295131840,183.95,183.9,183.93,200,100,289955,0
1704295131867,183.95,183.9,183.93,200,100,289955,0
1704295131889,183.95,183.9,199.0,200,100,289955,0
1704295131890,183.95,183.92,199.0,100,100,289955,0
1704295131894,183.95,183.92,183.94,300,100,289955,0
1704295131895,183.95,183.92,183.94,300,200,289955,0
1704295131896,183.95,183.92,183.94,300,100,289955,0
1704295131901,183.95,183.92,183.94,300,200,289955,0
1704295131904,183.95,183.92,183.94,300,300,289955,0
1704295131908,183.95,183.92,183.94,300,200,289955,0
1704295131951,183.95,183.92,183.94,300,100,289955,0
1704295131952,183.95,183.92,183.94,300,200,289955,0
1704295131961,183.95,183.92,183.94,300,100,289955,0
1704295131972,183.95,183.93,199.0,200,100,289955,0
1704295131979,183.95,183.92,199.0,300,100,289955,0
1704295131996,183.95,183.92,183.94,300,100,289955,0
1704295131997,183.95,183.92,183.94,300,100,289955,0
1704295132002,183.95,183.92,183.94,300,200,289955,0
1704295132003,183.95,183.92,183.94,300,100,289955,0
1704295132009,183.95,183.93,199.0,100,100,289955,0
1704295132021,183.95,183.92,199.0,300,100,289955,0
1704295132053,183.95,183.92,183.94,300,100,289955,0
